source,relation,target,abbr,evidence
C:Mebendazole,treats,D:STH,CtD,approved_indication
C:Doxycycline,treats,D:Oncho,CtD,approved_indication
C:Doxycycline,treats,D:LF,CtD,approved_indication
C:Azithromycin,treats,D:Trachoma,CtD,approved_indication
C:Rifampicin,treats,D:Leprosy,CtD,approved_indication
C:Dapsone,treats,D:Leprosy,CtD,approved_indication
C:Clofazimine,treats,D:Leprosy,CtD,approved_indication
C:Niclosamide,treats,D:Taeniasis,CtD,approved_indication
C:Benznidazole,causes,SE:PeripheralNeuropathy,CcSE,curated_seed_known_ade
C:Nifurtimox,causes,SE:Nausea,CcSE,curated_seed_known_ade
C:Melarsoprol,causes,SE:PeripheralNeuropathy,CcSE,curated_seed_known_ade
C:AmphotericinB,causes,SE:Hepatotoxicity,CcSE,curated_seed_known_ade
C:Pentamidine,causes,SE:QTprolongation,CcSE,curated_seed_known_ade
D:api:1,associated,G:api:1,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.581
D:api:1,associated,G:api:2,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.544
D:api:1,associated,G:api:3,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.541
D:api:1,associated,G:api:4,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.526
D:api:1,associated,G:api:5,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.513
C:api:1,modulates,G:api:5,CbG,source=ntd_kg_pipeline_live_api
C:api:1,candidate,D:api:1,CfD,source=ntd_kg_pipeline_live_api;priority_score=65.5;max_phase=3.0;disease_trial_count=0;serious_ae_reports=319
C:api:2,modulates,G:api:5,CbG,source=ntd_kg_pipeline_live_api
C:api:2,candidate,D:api:1,CfD,source=ntd_kg_pipeline_live_api;priority_score=80.5;max_phase=4.0;disease_trial_count=2;serious_ae_reports=1
D:api:1,associated,G:api:1,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.191
D:api:1,associated,G:api:2,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.028
C:api:1,modulates,G:api:2,CbG,source=ntd_kg_pipeline_live_api
C:api:1,candidate,D:api:1,CfD,source=ntd_kg_pipeline_live_api;priority_score=61.1;max_phase=4.0;boxed_warning=False;disease_trial_count=0;serious_ae_reports=259;pubmed_result_count=0
D:api:1,associated,G:api:3,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.027
C:api:2,modulates,G:api:3,CbG,source=ntd_kg_pipeline_live_api
C:api:2,candidate,D:api:1,CfD,source=ntd_kg_pipeline_live_api;priority_score=31.1;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:3,modulates,G:api:3,CbG,source=ntd_kg_pipeline_live_api
C:api:3,candidate,D:api:1,CfD,source=ntd_kg_pipeline_live_api;priority_score=31.1;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
D:api:1,associated,G:api:4,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.021
D:api:1,associated,G:api:5,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.015
D:Chagas,associated,G:api:6,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.089
C:api:4,modulates,G:api:6,CbG,source=ntd_kg_pipeline_live_api
C:api:4,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=33.5;max_phase=2.0;disease_trial_count=0;serious_ae_reports=4;pubmed_result_count=0
C:api:5,modulates,G:api:6,CbG,source=ntd_kg_pipeline_live_api
C:api:5,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=33.5;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:6,modulates,G:api:6,CbG,source=ntd_kg_pipeline_live_api
C:api:6,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=33.5;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
D:Chagas,associated,G:api:7,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.075
C:api:7,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:7,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=63.0;max_phase=4.0;boxed_warning=True;disease_trial_count=0;serious_ae_reports=3637;pubmed_result_count=0
C:api:8,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:8,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=63.0;max_phase=4.0;boxed_warning=True;disease_trial_count=0;serious_ae_reports=5465;pubmed_result_count=0
C:api:9,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:9,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=63.0;max_phase=4.0;boxed_warning=True;disease_trial_count=1;serious_ae_reports=88342;pubmed_result_count=1
C:api:10,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:10,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=63.0;max_phase=4.0;boxed_warning=True;disease_trial_count=0;serious_ae_reports=56359;pubmed_result_count=0
C:api:11,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:11,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=63.0;max_phase=4.0;boxed_warning=False;disease_trial_count=0;serious_ae_reports=337;pubmed_result_count=0
C:api:12,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:12,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=63.0;max_phase=4.0;boxed_warning=True;disease_trial_count=0;serious_ae_reports=1964;pubmed_result_count=0
C:api:13,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:13,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=63.0;max_phase=4.0;boxed_warning=False;disease_trial_count=1;serious_ae_reports=22567;pubmed_result_count=3
C:api:14,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:14,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=63.0;max_phase=4.0;boxed_warning=True;disease_trial_count=0;serious_ae_reports=647;pubmed_result_count=0
C:api:15,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:15,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=63.0;max_phase=4.0;boxed_warning=True;disease_trial_count=1;serious_ae_reports=28842;pubmed_result_count=0
C:api:16,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:16,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=63.0;max_phase=4.0;disease_trial_count=0;serious_ae_reports=1928;pubmed_result_count=0
C:api:17,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:17,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=63.0;max_phase=4.0;boxed_warning=True;disease_trial_count=0;serious_ae_reports=1981;pubmed_result_count=0
C:api:18,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:18,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=48.0;max_phase=3.0;disease_trial_count=0;serious_ae_reports=8;pubmed_result_count=0
C:api:19,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:19,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=33.0;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:20,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:20,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=33.0;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:21,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:21,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=33.0;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:22,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:22,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=33.0;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:23,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:23,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=63.0;max_phase=4.0;disease_trial_count=0;serious_ae_reports=185;pubmed_result_count=0
C:api:24,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:24,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=33.0;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:25,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:25,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=33.0;max_phase=2.0;disease_trial_count=0;serious_ae_reports=8;pubmed_result_count=0
C:api:26,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:26,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=33.0;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:27,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:27,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=48.0;max_phase=3.0;disease_trial_count=0;serious_ae_reports=17;pubmed_result_count=0
C:api:28,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:28,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=33.0;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:29,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:29,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=63.0;max_phase=4.0;boxed_warning=True;disease_trial_count=0;serious_ae_reports=252;pubmed_result_count=0
C:api:30,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:30,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=63.0;max_phase=4.0;boxed_warning=False;disease_trial_count=0;serious_ae_reports=5750;pubmed_result_count=0
C:api:31,modulates,G:api:7,CbG,source=ntd_kg_pipeline_live_api
C:api:31,candidate,D:Chagas,CfD,source=ntd_kg_pipeline_live_api;priority_score=18.0;max_phase=1.0;disease_trial_count=0;pubmed_result_count=0
D:Chagas,associated,G:api:8,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.074
D:Chagas,associated,G:api:9,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.074
D:Chagas,associated,G:api:10,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.074
C:api:32,phenotypic_hit,D:Chagas,CpH,source=ntd_kg_pipeline_live_api
C:api:33,phenotypic_hit,D:Chagas,CpH,source=ntd_kg_pipeline_live_api
C:api:34,phenotypic_hit,D:Chagas,CpH,source=ntd_kg_pipeline_live_api
C:api:35,phenotypic_hit,D:Chagas,CpH,source=ntd_kg_pipeline_live_api
C:api:36,phenotypic_hit,D:Chagas,CpH,source=ntd_kg_pipeline_live_api
C:api:37,phenotypic_hit,D:Chagas,CpH,source=ntd_kg_pipeline_live_api
C:api:38,phenotypic_hit,D:Chagas,CpH,source=ntd_kg_pipeline_live_api
C:api:39,phenotypic_hit,D:Chagas,CpH,source=ntd_kg_pipeline_live_api
C:api:40,phenotypic_hit,D:Chagas,CpH,source=ntd_kg_pipeline_live_api
C:api:41,phenotypic_hit,D:Chagas,CpH,source=ntd_kg_pipeline_live_api
C:api:42,phenotypic_hit,D:Chagas,CpH,source=ntd_kg_pipeline_live_api
C:api:43,phenotypic_hit,D:Chagas,CpH,source=ntd_kg_pipeline_live_api
C:api:44,phenotypic_hit,D:Chagas,CpH,source=ntd_kg_pipeline_live_api
C:api:45,phenotypic_hit,D:Chagas,CpH,source=ntd_kg_pipeline_live_api
C:api:46,phenotypic_hit,D:Chagas,CpH,source=ntd_kg_pipeline_live_api
C:api:47,phenotypic_hit,D:Chagas,CpH,source=ntd_kg_pipeline_live_api
C:api:48,phenotypic_hit,D:Chagas,CpH,source=ntd_kg_pipeline_live_api
C:api:49,phenotypic_hit,D:Chagas,CpH,source=ntd_kg_pipeline_live_api
C:api:50,phenotypic_hit,D:Chagas,CpH,source=ntd_kg_pipeline_live_api
C:api:51,phenotypic_hit,D:Chagas,CpH,source=ntd_kg_pipeline_live_api
D:api:1,associated,G:api:1,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.581
D:api:1,associated,G:api:2,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.544
D:api:1,associated,G:api:3,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.541
D:api:1,associated,G:api:4,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.526
D:api:1,associated,G:api:5,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.513
C:api:1,modulates,G:api:5,CbG,source=ntd_kg_pipeline_live_api
C:api:1,candidate,D:api:1,CfD,source=ntd_kg_pipeline_live_api;priority_score=65.5;max_phase=3.0;disease_trial_count=0;serious_ae_reports=319;pubmed_result_count=0
C:api:2,modulates,G:api:5,CbG,source=ntd_kg_pipeline_live_api
C:api:2,candidate,D:api:1,CfD,source=ntd_kg_pipeline_live_api;priority_score=80.5;max_phase=4.0;disease_trial_count=2;serious_ae_reports=1;pubmed_result_count=0
C:api:52,phenotypic_hit,D:api:1,CpH,source=ntd_kg_pipeline_live_api
C:api:53,phenotypic_hit,D:api:1,CpH,source=ntd_kg_pipeline_live_api
C:api:54,phenotypic_hit,D:api:1,CpH,source=ntd_kg_pipeline_live_api
C:api:55,phenotypic_hit,D:api:1,CpH,source=ntd_kg_pipeline_live_api
C:api:56,phenotypic_hit,D:api:1,CpH,source=ntd_kg_pipeline_live_api
C:api:57,phenotypic_hit,D:api:1,CpH,source=ntd_kg_pipeline_live_api
C:api:58,phenotypic_hit,D:api:1,CpH,source=ntd_kg_pipeline_live_api
C:api:59,phenotypic_hit,D:api:1,CpH,source=ntd_kg_pipeline_live_api
C:api:60,phenotypic_hit,D:api:1,CpH,source=ntd_kg_pipeline_live_api
C:api:61,phenotypic_hit,D:api:1,CpH,source=ntd_kg_pipeline_live_api
C:api:62,phenotypic_hit,D:api:1,CpH,source=ntd_kg_pipeline_live_api
C:api:63,phenotypic_hit,D:api:1,CpH,source=ntd_kg_pipeline_live_api
C:api:64,phenotypic_hit,D:api:1,CpH,source=ntd_kg_pipeline_live_api
C:api:65,phenotypic_hit,D:api:1,CpH,source=ntd_kg_pipeline_live_api
C:api:66,phenotypic_hit,D:api:1,CpH,source=ntd_kg_pipeline_live_api
C:api:62,phenotypic_hit,D:api:1,CpH,source=ntd_kg_pipeline_live_api
C:api:63,phenotypic_hit,D:api:1,CpH,source=ntd_kg_pipeline_live_api
C:api:64,phenotypic_hit,D:api:1,CpH,source=ntd_kg_pipeline_live_api
C:api:65,phenotypic_hit,D:api:1,CpH,source=ntd_kg_pipeline_live_api
C:api:66,phenotypic_hit,D:api:1,CpH,source=ntd_kg_pipeline_live_api
D:api:2,associated,G:api:11,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.004
D:api:2,associated,G:api:12,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.002
C:api:67,modulates,G:api:12,CbG,source=ntd_kg_pipeline_live_api
C:api:67,candidate,D:api:2,CfD,source=ntd_kg_pipeline_live_api;priority_score=45.1;max_phase=3.0;disease_trial_count=0;pubmed_result_count=0
C:api:68,modulates,G:api:12,CbG,source=ntd_kg_pipeline_live_api
C:api:68,candidate,D:api:2,CfD,source=ntd_kg_pipeline_live_api;priority_score=30.1;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:69,modulates,G:api:12,CbG,source=ntd_kg_pipeline_live_api
C:api:69,candidate,D:api:2,CfD,source=ntd_kg_pipeline_live_api;priority_score=45.1;max_phase=3.0;disease_trial_count=0;pubmed_result_count=0
C:api:70,modulates,G:api:12,CbG,source=ntd_kg_pipeline_live_api
C:api:70,candidate,D:api:2,CfD,source=ntd_kg_pipeline_live_api;priority_score=30.1;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:71,modulates,G:api:12,CbG,source=ntd_kg_pipeline_live_api
C:api:71,candidate,D:api:2,CfD,source=ntd_kg_pipeline_live_api;priority_score=30.1;max_phase=2.0;disease_trial_count=0;serious_ae_reports=4;pubmed_result_count=0
C:api:72,modulates,G:api:12,CbG,source=ntd_kg_pipeline_live_api
C:api:72,candidate,D:api:2,CfD,source=ntd_kg_pipeline_live_api;priority_score=45.1;max_phase=3.0;disease_trial_count=0;pubmed_result_count=0
C:api:73,phenotypic_hit,D:api:2,CpH,source=ntd_kg_pipeline_live_api
C:api:74,phenotypic_hit,D:api:2,CpH,source=ntd_kg_pipeline_live_api
C:api:75,phenotypic_hit,D:api:2,CpH,source=ntd_kg_pipeline_live_api
C:api:76,phenotypic_hit,D:api:2,CpH,source=ntd_kg_pipeline_live_api
C:api:77,phenotypic_hit,D:api:2,CpH,source=ntd_kg_pipeline_live_api
C:api:78,phenotypic_hit,D:api:2,CpH,source=ntd_kg_pipeline_live_api
C:api:79,phenotypic_hit,D:api:2,CpH,source=ntd_kg_pipeline_live_api
C:api:80,phenotypic_hit,D:api:2,CpH,source=ntd_kg_pipeline_live_api
C:api:81,phenotypic_hit,D:api:2,CpH,source=ntd_kg_pipeline_live_api
C:api:82,phenotypic_hit,D:api:2,CpH,source=ntd_kg_pipeline_live_api
C:api:83,phenotypic_hit,D:api:2,CpH,source=ntd_kg_pipeline_live_api
C:api:84,phenotypic_hit,D:api:2,CpH,source=ntd_kg_pipeline_live_api
C:api:85,phenotypic_hit,D:api:2,CpH,source=ntd_kg_pipeline_live_api
C:api:86,phenotypic_hit,D:api:2,CpH,source=ntd_kg_pipeline_live_api
C:api:87,phenotypic_hit,D:api:2,CpH,source=ntd_kg_pipeline_live_api
C:api:88,phenotypic_hit,D:api:2,CpH,source=ntd_kg_pipeline_live_api
C:api:89,phenotypic_hit,D:api:2,CpH,source=ntd_kg_pipeline_live_api
C:api:90,phenotypic_hit,D:api:2,CpH,source=ntd_kg_pipeline_live_api
C:api:91,phenotypic_hit,D:api:2,CpH,source=ntd_kg_pipeline_live_api
C:api:92,phenotypic_hit,D:api:2,CpH,source=ntd_kg_pipeline_live_api
D:api:3,associated,G:api:13,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.058
C:api:93,modulates,G:api:13,CbG,source=ntd_kg_pipeline_live_api
C:api:93,candidate,D:api:3,CfD,source=ntd_kg_pipeline_live_api;priority_score=32.3;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:94,modulates,G:api:13,CbG,source=ntd_kg_pipeline_live_api
C:api:94,candidate,D:api:3,CfD,source=ntd_kg_pipeline_live_api;priority_score=32.3;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:95,modulates,G:api:13,CbG,source=ntd_kg_pipeline_live_api
C:api:95,candidate,D:api:3,CfD,source=ntd_kg_pipeline_live_api;priority_score=17.3;max_phase=1.0;disease_trial_count=0;pubmed_result_count=0
D:api:3,associated,G:api:14,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.056
D:api:3,associated,G:api:15,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.049
D:api:3,associated,G:api:16,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.044
D:api:3,associated,G:api:17,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.044
D:Echino,associated,G:api:18,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.060
C:api:96,modulates,G:api:18,CbG,source=ntd_kg_pipeline_live_api
C:api:96,candidate,D:Echino,CfD,source=ntd_kg_pipeline_live_api;priority_score=32.4;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
D:Echino,associated,G:api:19,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.031
C:api:97,modulates,G:api:19,CbG,source=ntd_kg_pipeline_live_api
