id,name,kind,doid,mesh_id,umls_cui,ncbi_gene_id,uniprot_id,go_ids,drugbank_id,drugcentral_id,reactome_id,wikipathways_id,uberon_id,meddra_id
SE:QTprolongation,QT interval prolongation,SideEffect,,,,,,,,,,,,
C:Benznidazole,Benznidazole,Compound,,,,,,,,,,,,
C:Nifurtimox,Nifurtimox,Compound,,,,,,,,,,,,
C:Fexinidazole,Fexinidazole,Compound,,,,,,,,,,,,
C:Melarsoprol,Melarsoprol,Compound,,,,,,,,,,,,
C:Eflornithine,Eflornithine (DFMO),Compound,,,,,,,,,,,,
C:Suramin,Suramin,Compound,,,,,,,,,,,,
C:Pentamidine,Pentamidine,Compound,,,,,,,,,,,,
C:Miltefosine,Miltefosine,Compound,,,,,,,,,,,,
C:AmphotericinB,Amphotericin B,Compound,,,,,,,,,,,,
C:Praziquantel,Praziquantel,Compound,,,,,,,,,,,,
C:Ivermectin,Ivermectin,Compound,,,,,,,,,,,,
C:DEC,Diethylcarbamazine,Compound,,,,,,,,,,,,
C:Albendazole,Albendazole,Compound,,,,,,,,,,,,
C:Mebendazole,Mebendazole,Compound,,,,,,,,,,,,
C:Doxycycline,Doxycycline,Compound,,,,,,,,,,,,
C:Azithromycin,Azithromycin,Compound,,,,,,,,,,,,
C:Rifampicin,Rifampicin,Compound,,,,,,,,,,,,
C:Dapsone,Dapsone,Compound,,,,,,,,,,,,
C:Clofazimine,Clofazimine,Compound,,,,,,,,,,,,
C:Niclosamide,Niclosamide,Compound,,,,,,,,,,,,
C:Auranofin,Auranofin,Compound,,,,,,,,,,,,
C:Fluoxetine,Fluoxetine,Compound,,,,,,,,,,,,
D:api:1,dengue,Disease,,,,,,,,,,,,
G:api:1,APOA1,Gene,,,,,,,,,,,,
G:api:2,HAVCR1,Gene,,,,,,,,,,,,
G:api:3,YBX1,Gene,,,,,,,,,,,,
G:api:4,CD209,Gene,,,,,,,,,,,,
G:api:5,PROS1,Gene,,,,,,,,,,,,
C:api:1,PROTHROMBIN COMPLEX CONCENTRATE,Compound,,,,,,,,,,,,
C:api:2,PROTEIN S HUMAN,Compound,,,,,,,,,,,,
D:api:1,Buruli ulcer,Disease,,,,,,,,,,,,
G:api:1,SLC11A1,Gene,,,,,,,,,,,,
G:api:2,IFNG,Gene,,,,,,,,,,,,
C:api:1,INTERFERON GAMMA-1B,Compound,,,,,,,,,,,,
G:api:3,IL1B,Gene,,,,,,,,,,,,
C:api:2,NIVOCASAN,Compound,,,,,,,,,,,,
C:api:3,BELNACASAN,Compound,,,,,,,,,,,,
G:api:4,BCL2L11,Gene,,,,,,,,,,,,
G:api:5,HSPD1,Gene,,,,,,,,,,,,
G:api:6,TGFB1,Gene,,,,,,,,,,,,
C:api:4,FRESOLIMUMAB,Compound,,,,,,,,,,,,
C:api:5,METELIMUMAB,Compound,,,,,,,,,,,,
C:api:6,LY-2382770,Compound,,,,,,,,,,,,
G:api:7,TUBA1B,Gene,,,,,,,,,,,,
C:api:7,TRASTUZUMAB EMTANSINE,Compound,,,,,,,,,,,,
C:api:8,BRENTUXIMAB VEDOTIN,Compound,,,,,,,,,,,,
C:api:9,PACLITAXEL,Compound,,,,,,,,,,,,
C:api:10,DOCETAXEL,Compound,,,,,,,,,,,,
C:api:11,ERIBULIN MESYLATE,Compound,,,,,,,,,,,,
C:api:12,CABAZITAXEL,Compound,,,,,,,,,,,,
C:api:13,COLCHICINE,Compound,,,,,,,,,,,,
C:api:14,IXABEPILONE,Compound,,,,,,,,,,,,
C:api:15,VINCRISTINE SULFATE,Compound,,,,,,,,,,,,
C:api:16,VINORELBINE TARTRATE,Compound,,,,,,,,,,,,
C:api:17,VINBLASTINE SULFATE,Compound,,,,,,,,,,,,
C:api:18,PACLITAXEL POLIGLUMEX,Compound,,,,,,,,,,,,
C:api:19,INDIBULIN,Compound,,,,,,,,,,,,
C:api:20,DAVUNETIDE,Compound,,,,,,,,,,,,
C:api:21,CROLIBULIN,Compound,,,,,,,,,,,,
C:api:22,LEXIBULIN,Compound,,,,,,,,,,,,
C:api:23,VINFLUNINE,Compound,,,,,,,,,,,,
C:api:24,FOSBRETABULIN DISODIUM,Compound,,,,,,,,,,,,
C:api:25,FOSBRETABULIN TROMETHAMINE,Compound,,,,,,,,,,,,
C:api:26,SAGOPILONE,Compound,,,,,,,,,,,,
C:api:27,PLINABULIN,Compound,,,,,,,,,,,,
C:api:28,VERUBULIN,Compound,,,,,,,,,,,,
C:api:29,MIRVETUXIMAB SORAVTANSINE,Compound,,,,,,,,,,,,
C:api:30,POLATUZUMAB VEDOTIN,Compound,,,,,,,,,,,,
C:api:31,RG-7841,Compound,,,,,,,,,,,,
G:api:8,TUBB,Gene,,,,,,,,,,,,
G:api:9,TUBB1,Gene,,,,,,,,,,,,
G:api:10,TUBB4A,Gene,,,,,,,,,,,,
C:api:32,CHEMBL90512,Compound,,,,,,,,,,,,
C:api:33,CHEMBL327902,Compound,,,,,,,,,,,,
C:api:34,CHEMBL88307,Compound,,,,,,,,,,,,
C:api:35,CHEMBL90475,Compound,,,,,,,,,,,,
C:api:36,CHEMBL90371,Compound,,,,,,,,,,,,
C:api:37,CHEMBL88354,Compound,,,,,,,,,,,,
C:api:38,CHEMBL440504,Compound,,,,,,,,,,,,
C:api:39,CHEMBL91644,Compound,,,,,,,,,,,,
C:api:40,CHEMBL315862,Compound,,,,,,,,,,,,
C:api:41,CHEMBL328234,Compound,,,,,,,,,,,,
C:api:42,CHEMBL91643,Compound,,,,,,,,,,,,
C:api:43,CHEMBL94235,Compound,,,,,,,,,,,,
C:api:44,CHEMBL92099,Compound,,,,,,,,,,,,
C:api:45,CHEMBL90428,Compound,,,,,,,,,,,,
C:api:46,CHEMBL89915,Compound,,,,,,,,,,,,
C:api:47,CHEMBL91640,Compound,,,,,,,,,,,,
C:api:48,CHEMBL91887,Compound,,,,,,,,,,,,
C:api:49,CHEMBL328370,Compound,,,,,,,,,,,,
C:api:50,CHEMBL90339,Compound,,,,,,,,,,,,
C:api:51,CHEMBL90772,Compound,,,,,,,,,,,,
C:api:52,MERIMEPODIB,Compound,,,,,,,,,,,,
C:api:53,CASTANOSPERMINE,Compound,,,,,,,,,,,,
C:api:54,RUTIN,Compound,,,,,,,,,,,,
C:api:55,CHEMBL3344315,Compound,,,,,,,,,,,,
C:api:56,SPIRAEOSIDE,Compound,,,,,,,,,,,,
C:api:57,BETULINIC ACID,Compound,,,,,,,,,,,,
C:api:58,HYPEROSIDE,Compound,,,,,,,,,,,,
C:api:59,QUERCITRIN,Compound,,,,,,,,,,,,
C:api:60,AVICULARIN,Compound,,,,,,,,,,,,
C:api:61,CHEMBL3604361,Compound,,,,,,,,,,,,
C:api:62,CHEMBL3637931,Compound,,,,,,,,,,,,
C:api:63,CHEMBL3637932,Compound,,,,,,,,,,,,
C:api:64,CHEMBL2348373,Compound,,,,,,,,,,,,
C:api:65,CHEMBL3637933,Compound,,,,,,,,,,,,
C:api:66,CHEMBL2064298,Compound,,,,,,,,,,,,
D:api:2,Chikungunya,Disease,,,,,,,,,,,,
G:api:11,GPR161,Gene,,,,,,,,,,,,
G:api:12,CD40LG,Gene,,,,,,,,,,,,
C:api:67,RUPLIZUMAB,Compound,,,,,,,,,,,,
C:api:68,TORALIZUMAB,Compound,,,,,,,,,,,,
C:api:69,DAPIROLIZUMAB PEGOL,Compound,,,,,,,,,,,,
C:api:70,RAVAGALIMAB,Compound,,,,,,,,,,,,
C:api:71,TEGOPRUBART,Compound,,,,,,,,,,,,
C:api:72,DAZODALIBEP,Compound,,,,,,,,,,,,
C:api:73,CHEMBL458705,Compound,,,,,,,,,,,,
C:api:74,CHEMBL224172,Compound,,,,,,,,,,,,
C:api:75,CHEMBL456850,Compound,,,,,,,,,,,,
C:api:76,CHEMBL3360544,Compound,,,,,,,,,,,,
C:api:77,CHEMBL3125916,Compound,,,,,,,,,,,,
C:api:78,BAICALIN,Compound,,,,,,,,,,,,
C:api:79,MYCOPHENOLIC ACID,Compound,,,,,,,,,,,,
C:api:80,RIBAVIRIN,Compound,,,,,,,,,,,,
C:api:81,CHEMBL4211638,Compound,,,,,,,,,,,,
C:api:82,CHEMBL4206760,Compound,,,,,,,,,,,,
C:api:83,CHEMBL2447930,Compound,,,,,,,,,,,,
C:api:84,CHEMBL2062136,Compound,,,,,,,,,,,,
C:api:85,CHEMBL5206107,Compound,,,,,,,,,,,,
C:api:86,CHEMBL5179940,Compound,,,,,,,,,,,,
C:api:87,CHEMBL5203342,Compound,,,,,,,,,,,,
C:api:88,CHEMBL5206850,Compound,,,,,,,,,,,,
C:api:89,CHEMBL5172739,Compound,,,,,,,,,,,,
C:api:90,CHEMBL5184855,Compound,,,,,,,,,,,,
C:api:91,CHEMBL5190082,Compound,,,,,,,,,,,,
C:api:92,CHEMBL5194207,Compound,,,,,,,,,,,,
D:api:3,Dracunculiasis,Disease,,,,,,,,,,,,
G:api:13,ITGB2,Gene,,,,,,,,,,,,
C:api:93,ERLIZUMAB,Compound,,,,,,,,,,,,
C:api:94,MLNM-2201,Compound,,,,,,,,,,,,
C:api:95,MLN-01,Compound,,,,,,,,,,,,
G:api:14,CARD14,Gene,,,,,,,,,,,,
G:api:15,IL1RN,Gene,,,,,,,,,,,,
G:api:16,CTSL,Gene,,,,,,,,,,,,
G:api:17,CTSV,Gene,,,,,,,,,,,,
G:api:18,IL21,Gene,,,,,,,,,,,,
C:api:96,NNC0114-0006,Compound,,,,,,,,,,,,
G:api:19,IGHE,Gene,,,,,,,,,,,,
C:api:97,OMALIZUMAB,Compound,,,,,,,,,,,,
C:api:98,TALIZUMAB,Compound,,,,,,,,,,,,
C:api:99,AL-901,Compound,,,,,,,,,,,,
C:api:100,QUILIZUMAB,Compound,,,,,,,,,,,,
C:api:101,LIGELIZUMAB,Compound,,,,,,,,,,,,
C:api:102,MEDI-4212,Compound,,,,,,,,,,,,
G:api:20,PRDX2,Gene,,,,,,,,,,,,
G:api:21,LGALS3,Gene,,,,,,,,,,,,
G:api:22,ODC1,Gene,,,,,,,,,,,,
C:api:103,EFLORNITHINE HYDROCHLORIDE,Compound,,,,,,,,,,,,
G:api:23,PSAP,Gene,,,,,,,,,,,,
G:api:24,NPC1,Gene,,,,,,,,,,,,
C:api:104,EZETIMIBE,Compound,,,,,,,,,,,,
G:api:25,KCNA1,Gene,,,,,,,,,,,,
G:api:26,GALC,Gene,,,,,,,,,,,,
C:api:105,CHEMBL2051757,Compound,,,,,,,,,,,,
C:api:106,CHEMBL44025,Compound,,,,,,,,,,,,
C:api:107,CHEMBL43390,Compound,,,,,,,,,,,,
C:api:108,CHEMBL43495,Compound,,,,,,,,,,,,
C:api:109,CHEMBL296119,Compound,,,,,,,,,,,,
C:api:110,CHEMBL289450,Compound,,,,,,,,,,,,
G:api:27,IGHG3,Gene,,,,,,,,,,,,
G:api:28,IGHG1,Gene,,,,,,,,,,,,
G:api:29,IGHV1-46,Gene,,,,,,,,,,,,
G:api:30,IGHV1-69,Gene,,,,,,,,,,,,
G:api:31,IGHV3-11,Gene,,,,,,,,,,,,
C:api:111,CHEMBL166314,Compound,,,,,,,,,,,,
C:api:112,CHEMBL166092,Compound,,,,,,,,,,,,
C:api:113,CHEMBL164620,Compound,,,,,,,,,,,,
C:api:114,CHEMBL164588,Compound,,,,,,,,,,,,
C:api:115,CHEMBL423980,Compound,,,,,,,,,,,,
C:api:116,CHEMBL165221,Compound,,,,,,,,,,,,
C:api:117,CHEMBL164900,Compound,,,,,,,,,,,,
C:api:118,CHEMBL165114,Compound,,,,,,,,,,,,
C:api:119,CHEMBL435661,Compound,,,,,,,,,,,,
C:api:120,CHEMBL163962,Compound,,,,,,,,,,,,
C:api:121,CHEMBL165562,Compound,,,,,,,,,,,,
C:api:122,CHEMBL163668,Compound,,,,,,,,,,,,
C:api:123,CHLORALIN,Compound,,,,,,,,,,,,
C:api:124,CHEMBL298774,Compound,,,,,,,,,,,,
C:api:125,CHEMBL55225,Compound,,,,,,,,,,,,
C:api:126,CHEMBL53153,Compound,,,,,,,,,,,,
C:api:127,CHEMBL51746,Compound,,,,,,,,,,,,
C:api:128,CHEMBL53033,Compound,,,,,,,,,,,,
C:api:129,CHEMBL298564,Compound,,,,,,,,,,,,
G:api:32,LACC1,Gene,,,,,,,,,,,,
G:api:33,TNFSF15,Gene,,,,,,,,,,,,
G:api:34,RIPK2,Gene,,,,,,,,,,,,
G:api:35,SNX20,Gene,,,,,,,,,,,,
G:api:36,ADGB,Gene,,,,,,,,,,,,
G:api:37,MMP1,Gene,,,,,,,,,,,,
G:api:38,MMP8,Gene,,,,,,,,,,,,
C:api:130,DOXYCYCLINE CALCIUM,Compound,,,,,,,,,,,,
C:api:131,DOXYCYCLINE HYCLATE,Compound,,,,,,,,,,,,
C:api:132,CTS-1027,Compound,,,,,,,,,,,,
C:api:133,REBIMASTAT,Compound,,,,,,,,,,,,
G:api:39,MMP13,Gene,,,,,,,,,,,,
G:api:40,MMP7,Gene,,,,,,,,,,,,
C:api:134,MARIMASTAT,Compound,,,,,,,,,,,,
D:api:4,Mycetoma,Disease,,,,,,,,,,,,
G:api:41,CYP51A1,Gene,,,,,,,,,,,,
G:api:42,IL17A,Gene,,,,,,,,,,,,
C:api:135,SECUKINUMAB,Compound,,,,,,,,,,,,
C:api:136,IXEKIZUMAB,Compound,,,,,,,,,,,,
C:api:137,AFASEVIKUMAB,Compound,,,,,,,,,,,,
C:api:138,PERAKIZUMAB,Compound,,,,,,,,,,,,
C:api:139,CJM-112,Compound,,,,,,,,,,,,
C:api:140,BIMEKIZUMAB,Compound,,,,,,,,,,,,
C:api:141,M-1095,Compound,,,,,,,,,,,,
C:api:142,REMTOLUMAB,Compound,,,,,,,,,,,,
C:api:143,IZOKIBEP,Compound,,,,,,,,,,,,
C:api:144,TIBULIZUMAB,Compound,,,,,,,,,,,,
C:api:145,VUNAKIZUMAB,Compound,,,,,,,,,,,,
G:api:43,IL10,Gene,,,,,,,,,,,,
C:api:146,SCH-708980,Compound,,,,,,,,,,,,
G:api:44,IL37,Gene,,,,,,,,,,,,
C:api:147,CHEMBL5620321,Compound,,,,,,,,,,,,
C:api:148,CHEMBL5618830,Compound,,,,,,,,,,,,
C:api:149,CHEMBL5618135,Compound,,,,,,,,,,,,
C:api:150,ITRACONAZOLE,Compound,,,,,,,,,,,,
C:api:151,CHEMBL5618921,Compound,,,,,,,,,,,,
C:api:152,CHEMBL5618845,Compound,,,,,,,,,,,,
C:api:153,CHEMBL5618931,Compound,,,,,,,,,,,,
C:api:154,CHEMBL5618418,Compound,,,,,,,,,,,,
C:api:155,CHEMBL5618463,Compound,,,,,,,,,,,,
C:api:156,CHEMBL5618754,Compound,,,,,,,,,,,,
C:api:157,CHEMBL5619138,Compound,,,,,,,,,,,,
C:api:158,CHEMBL5620278,Compound,,,,,,,,,,,,
C:api:159,CHEMBL5619326,Compound,,,,,,,,,,,,
C:api:160,CHEMBL5618839,Compound,,,,,,,,,,,,
C:api:161,CHEMBL5618602,Compound,,,,,,,,,,,,
C:api:162,CHEMBL5619121,Compound,,,,,,,,,,,,
C:api:163,CHEMBL5618392,Compound,,,,,,,,,,,,
C:api:164,CHEMBL5619519,Compound,,,,,,,,,,,,
C:api:165,CHEMBL5618457,Compound,,,,,,,,,,,,
C:api:166,CHEMBL5619827,Compound,,,,,,,,,,,,
G:api:45,CALR,Gene,,,,,,,,,,,,
G:api:46,IL5,Gene,,,,,,,,,,,,
G:api:47,ACE,Gene,,,,,,,,,,,,
C:api:167,LEVAMISOLE HYDROCHLORIDE,Compound,,,,,,,,,,,,
C:api:168,CLOSANTEL,Compound,,,,,,,,,,,,
C:api:169,CHEMBL237819,Compound,,,,,,,,,,,,
C:api:170,CHEMBL482487,Compound,,,,,,,,,,,,
C:api:171,CHEMBL484912,Compound,,,,,,,,,,,,
C:api:172,CHEMBL395873,Compound,,,,,,,,,,,,
C:api:173,CHEMBL391125,Compound,,,,,,,,,,,,
C:api:174,CHEMBL1801794,Compound,,,,,,,,,,,,
C:api:175,CHEMBL1801795,Compound,,,,,,,,,,,,
C:api:176,CHEMBL1801802,Compound,,,,,,,,,,,,
C:api:177,RAFOXANIDE,Compound,,,,,,,,,,,,
C:api:178,CHEMBL483713,Compound,,,,,,,,,,,,
C:api:179,CHEMBL3297930,Compound,,,,,,,,,,,,
C:api:180,CHEMBL3298097,Compound,,,,,,,,,,,,
C:api:181,CHEMBL3298098,Compound,,,,,,,,,,,,
C:api:182,CHEMBL3298099,Compound,,,,,,,,,,,,
C:api:183,CHEMBL3298100,Compound,,,,,,,,,,,,
C:api:184,CHEMBL3298101,Compound,,,,,,,,,,,,
C:api:185,CHEMBL3298102,Compound,,,,,,,,,,,,
C:api:186,CHEMBL3298103,Compound,,,,,,,,,,,,
D:api:5,Rabies,Disease,,,,,,,,,,,,
G:api:48,CGAS,Gene,,,,,,,,,,,,
G:api:49,FLG,Gene,,,,,,,,,,,,
C:api:187,PAZOPANIB HYDROCHLORIDE,Compound,,,,,,,,,,,,
C:api:188,REGORAFENIB,Compound,,,,,,,,,,,,
C:api:189,SURUFATINIB,Compound,,,,,,,,,,,,
C:api:190,PD-0166285 HYDROCHLORIDE,Compound,,,,,,,,,,,,
C:api:191,RG-1530,Compound,,,,,,,,,,,,
C:api:192,LUCITANIB,Compound,,,,,,,,,,,,
C:api:193,TG100-801,Compound,,,,,,,,,,,,
C:api:194,PEMIGATINIB,Compound,,,,,,,,,,,,
C:api:195,E-7090,Compound,,,,,,,,,,,,
C:api:196,FGFR INHIBITOR DEBIO 1347,Compound,,,,,,,,,,,,
C:api:197,HMPL-453,Compound,,,,,,,,,,,,
G:api:50,FTO,Gene,,,,,,,,,,,,
C:api:198,BISANTRENE,Compound,,,,,,,,,,,,
G:api:51,NR3C1,Gene,,,,,,,,,,,,
C:api:199,PREDNISONE,Compound,,,,,,,,,,,,
C:api:200,HALCINONIDE,Compound,,,,,,,,,,,,
C:api:201,MEDRYSONE,Compound,,,,,,,,,,,,
C:api:202,DIFLUPREDNATE,Compound,,,,,,,,,,,,
C:api:203,BETAMETHASONE,Compound,,,,,,,,,,,,
C:api:204,HYDROCORTISONE,Compound,,,,,,,,,,,,
C:api:205,TRIAMCINOLONE ACETONIDE,Compound,,,,,,,,,,,,
C:api:206,HYDROCORTISONE CYPIONATE,Compound,,,,,,,,,,,,
C:api:207,CLOBETASOL PROPIONATE,Compound,,,,,,,,,,,,
C:api:208,HYDROCORTISONE SODIUM SUCCINATE,Compound,,,,,,,,,,,,
C:api:209,FLUOROMETHOLONE,Compound,,,,,,,,,,,,
C:api:210,HYDROCORTAMATE HYDROCHLORIDE,Compound,,,,,,,,,,,,
C:api:211,BETAMETHASONE SODIUM PHOSPHATE,Compound,,,,,,,,,,,,
C:api:212,LOTEPREDNOL ETABONATE,Compound,,,,,,,,,,,,
C:api:213,PREDNISOLONE TEBUTATE,Compound,,,,,,,,,,,,
C:api:214,PREDNISOLONE,Compound,,,,,,,,,,,,
C:api:215,FLUNISOLIDE,Compound,,,,,,,,,,,,
C:api:216,PARAMETHASONE ACETATE,Compound,,,,,,,,,,,,
C:api:217,BETAMETHASONE DIPROPIONATE,Compound,,,,,,,,,,,,
C:api:218,BETAMETHASONE ACETATE,Compound,,,,,,,,,,,,
C:api:219,DEXAMETHASONE SODIUM PHOSPHATE,Compound,,,,,,,,,,,,
C:api:220,METHYLPREDNISOLONE SODIUM SUCCINATE,Compound,,,,,,,,,,,,
C:api:221,DESONIDE,Compound,,,,,,,,,,,,
C:api:222,PREDNICARBATE,Compound,,,,,,,,,,,,
C:api:223,BECLOMETHASONE DIPROPIONATE,Compound,,,,,,,,,,,,
G:api:52,LY6D,Gene,,,,,,,,,,,,
G:api:53,PRSS53,Gene,,,,,,,,,,,,
G:api:54,IL4R,Gene,,,,,,,,,,,,
C:api:224,DUPILUMAB,Compound,,,,,,,,,,,,
G:api:55,IL13,Gene,,,,,,,,,,,,
C:api:225,LEBRIKIZUMAB,Compound,,,,,,,,,,,,
C:api:226,TRALOKINUMAB,Compound,,,,,,,,,,,,
C:api:227,ANRUKINZUMAB,Compound,,,,,,,,,,,,
C:api:228,QAX-576,Compound,,,,,,,,,,,,
C:api:229,CNTO-5825,Compound,,,,,,,,,,,,
C:api:230,ROMILKIMAB,Compound,,,,,,,,,,,,
C:api:231,CENDAKIMAB,Compound,,,,,,,,,,,,
G:api:56,SPP1,Gene,,,,,,,,,,,,
C:api:232,ASK-8007,Compound,,,,,,,,,,,,
G:api:57,IL33,Gene,,,,,,,,,,,,
C:api:233,ETOKIMAB,Compound,,,,,,,,,,,,
C:api:234,ITEPEKIMAB,Compound,,,,,,,,,,,,
C:api:235,TORUDOKIMAB,Compound,,,,,,,,,,,,
G:api:58,KIT,Gene,,,,,,,,,,,,
C:api:236,DASATINIB ANHYDROUS,Compound,,,,,,,,,,,,
C:api:237,SORAFENIB TOSYLATE,Compound,,,,,,,,,,,,
C:api:238,SUNITINIB MALATE,Compound,,,,,,,,,,,,
C:api:239,IMATINIB MESYLATE,Compound,,,,,,,,,,,,
C:api:240,SU-014813,Compound,,,,,,,,,,,,
C:api:241,CM-082,Compound,,,,,,,,,,,,
C:api:242,OSI-930,Compound,,,,,,,,,,,,
C:api:243,CATEQUENTINIB,Compound,,,,,,,,,,,,
C:api:244,TELATINIB,Compound,,,,,,,,,,,,
C:api:245,ENMD-2076,Compound,,,,,,,,,,,,
C:api:246,FORETINIB,Compound,,,,,,,,,,,,
C:api:247,TANDUTINIB,Compound,,,,,,,,,,,,
C:api:248,AMUVATINIB,Compound,,,,,,,,,,,,
C:api:249,PEXIDARTINIB,Compound,,,,,,,,,,,,
C:api:250,FAMITINIB,Compound,,,,,,,,,,,,
C:api:251,XL-820,Compound,,,,,,,,,,,,
C:api:252,XL-999,Compound,,,,,,,,,,,,
C:api:253,MASITINIB,Compound,,,,,,,,,,,,
C:api:254,QUIZARTINIB,Compound,,,,,,,,,,,,
C:api:255,CEDIRANIB,Compound,,,,,,,,,,,,
C:api:256,MIDOSTAURIN,Compound,,,,,,,,,,,,
C:api:257,VATALANIB,Compound,,,,,,,,,,,,
C:api:258,SEMAXANIB,Compound,,,,,,,,,,,,
